date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
7/24/2013;4510;3.24269;295;295;2256;0;1349;32;32;27;0;0;0;0
7/25/2013;5090;3.65971;306;306;2270;0;1365;17;25;33;0;0;0;0
7/26/2013;9356;6.72696;578;578;2623;0;1284;38;59;59;0;0;0;0
7/27/2013;8096;5.82102;556;556;2595;0;1240;68;102;30;0;0;0;0
7/28/2013;5119;3.68056;345;345;2320;0;1319;41;62;18;0;0;0;0
7/29/2013;0;0;1;1;2505;0;1440;0;0;0;0;0;0;0
7/30/2013;9684;6.9628;619;619;2677;0;1255;54;79;52;0;0;0;0
7/31/2013;8853;6.36531;557;557;2596;0;1287;51;49;53;0;0;0;0
8/1/2013;9657;6.94338;583;583;2630;0;1290;33;55;62;0;0;0;0
8/2/2013;3186;2.29073;216;216;2153;0;1364;33;30;13;0;0;0;0
8/3/2013;6466;4.64905;441;441;1829;0;813;51;77;25;0;0;0;0
